Title,Due Date,Notes,List,,The Bible Recap
Genesis 1,2026-01-01,,The Bible Recap
Genesis 2,2026-01-01,,The Bible Recap
Genesis 3,2026-01-01,,The Bible Recap
Genesis 4,2026-01-02,,The Bible Recap
Genesis 5,2026-01-02,,The Bible Recap
Genesis 6,2026-01-02,,The Bible Recap
Genesis 7,2026-01-02,,The Bible Recap
Genesis 8,2026-01-03,,The Bible Recap
Genesis 9,2026-01-03,,The Bible Recap
Genesis 10,2026-01-03,,The Bible Recap
Genesis 11,2026-01-03,,The Bible Recap
Job 1,2026-01-04,,The Bible Recap
Job 2,2026-01-04,,The Bible Recap
Job 3,2026-01-04,,The Bible Recap
Job 4,2026-01-04,,The Bible Recap
Job 5,2026-01-04,,The Bible Recap
Job 6,2026-01-05,,The Bible Recap
Job 7,2026-01-05,,The Bible Recap
Job 8,2026-01-05,,The Bible Recap
Job 9,2026-01-05,,The Bible Recap
Job 10,2026-01-06,,The Bible Recap
Job 11,2026-01-06,,The Bible Recap
Job 12,2026-01-06,,The Bible Recap
Job 13,2026-01-06,,The Bible Recap
Job 14,2026-01-07,,The Bible Recap
Job 15,2026-01-07,,The Bible Recap
Job 16,2026-01-07,,The Bible Recap
Job 17,2026-01-08,,The Bible Recap
Job 18,2026-01-08,,The Bible Recap
Job 19,2026-01-08,,The Bible Recap
Job 20,2026-01-08,,The Bible Recap
Job 21,2026-01-09,,The Bible Recap
Job 22,2026-01-09,,The Bible Recap
Job 23,2026-01-09,,The Bible Recap
Job 24,2026-01-10,,The Bible Recap
Job 25,2026-01-10,,The Bible Recap
Job 26,2026-01-10,,The Bible Recap
Job 27,2026-01-10,,The Bible Recap
Job 28,2026-01-10,,The Bible Recap
Job 29,2026-01-11,,The Bible Recap
Job 30,2026-01-11,,The Bible Recap
Job 31,2026-01-11,,The Bible Recap
Job 32,2026-01-12,,The Bible Recap
Job 33,2026-01-12,,The Bible Recap
Job 34,2026-01-12,,The Bible Recap
Job 35,2026-01-13,,The Bible Recap
Job 36,2026-01-13,,The Bible Recap
Job 37,2026-01-13,,The Bible Recap
Job 38,2026-01-14,,The Bible Recap
Job 39,2026-01-14,,The Bible Recap
Job 40,2026-01-15,,The Bible Recap
Job 41,2026-01-15,,The Bible Recap
Job 42,2026-01-15,,The Bible Recap
Genesis 12,2026-01-16,,The Bible Recap
Genesis 13,2026-01-16,,The Bible Recap
Genesis 14,2026-01-16,,The Bible Recap
Genesis 15,2026-01-16,,The Bible Recap
Genesis 16,2026-01-17,,The Bible Recap
Genesis 17,2026-01-17,,The Bible Recap
Genesis 18,2026-01-17,,The Bible Recap
Genesis 19,2026-01-18,,The Bible Recap
Genesis 20,2026-01-18,,The Bible Recap
Genesis 21,2026-01-18,,The Bible Recap
Genesis 22,2026-01-19,,The Bible Recap
Genesis 23,2026-01-19,,The Bible Recap
Genesis 24,2026-01-19,,The Bible Recap
Genesis 25,2026-01-20,,The Bible Recap
Genesis 26,2026-01-20,,The Bible Recap
Genesis 27,2026-01-21,,The Bible Recap
Genesis 28,2026-01-21,,The Bible Recap
Genesis 29,2026-01-21,,The Bible Recap
Genesis 30,2026-01-22,,The Bible Recap
Genesis 31,2026-01-22,,The Bible Recap
Genesis 32,2026-01-23,,The Bible Recap
Genesis 33,2026-01-23,,The Bible Recap
Genesis 34,2026-01-23,,The Bible Recap
Genesis 35,2026-01-24,,The Bible Recap
Genesis 36,2026-01-24,,The Bible Recap
Genesis 37,2026-01-24,,The Bible Recap
Genesis 38,2026-01-25,,The Bible Recap
Genesis 39,2026-01-25,,The Bible Recap
Genesis 40,2026-01-25,,The Bible Recap
Genesis 41,2026-01-26,,The Bible Recap
Genesis 42,2026-01-26,,The Bible Recap
Genesis 43,2026-01-27,,The Bible Recap
Genesis 44,2026-01-27,,The Bible Recap
Genesis 45,2026-01-27,,The Bible Recap
Genesis 46,2026-01-28,,The Bible Recap
Genesis 47,2026-01-28,,The Bible Recap
Genesis 48,2026-01-29,,The Bible Recap
Genesis 49,2026-01-29,,The Bible Recap
Genesis 50,2026-01-29,,The Bible Recap
Exodus 1,2026-01-30,,The Bible Recap
Exodus 2,2026-01-30,,The Bible Recap
Exodus 3,2026-01-30,,The Bible Recap
Exodus 4,2026-01-31,,The Bible Recap
Exodus 5,2026-01-31,,The Bible Recap
Exodus 6,2026-01-31,,The Bible Recap
Exodus 7,2026-02-01,,The Bible Recap
Exodus 8,2026-02-01,,The Bible Recap
Exodus 9,2026-02-01,,The Bible Recap
Exodus 10,2026-02-02,,The Bible Recap
Exodus 11,2026-02-02,,The Bible Recap
Exodus 12,2026-02-02,,The Bible Recap
Exodus 13,2026-02-03,,The Bible Recap
Exodus 14,2026-02-03,,The Bible Recap
Exodus 15,2026-02-03,,The Bible Recap
Exodus 16,2026-02-04,,The Bible Recap
